Author,CanonicalLink,Description,ISBN,ISBN Valid,ImageLink,Language,PublishedDate,Publisher,Subjects,Title,google_api_title,i
"Sand, George",https://play.google.com/store/books/details?id=v8O5qYrir1wC,"Jean Daniel est le directeur-fondateur du Nouvel Observateur. Il est l'auteur de très nombreux ouvrages personnels que Grasset a publiés depuis une vingtaine d'années et qui sont, aujourd'hui, rassemblés en un seul volume. Le Livre: Ce volume rassemble l'ensemble des textes autobiographiques de Jean Daniel. Et, puisque l'oeuvre de cet auteur est principalement une autobiographie mêlant engagement publics et états d'âme intimes, il s'agira, de fait, de la plupart de ses ouvrages. Cinq titres composent donc ce volume. -1-Le refuge et la source, publié en 1977. Ce livre, très sensible, évoque sur un mode « camusien » l'enfance de Jean Daniel en Algérie. C'est un texte splendide, dominé par la figure de son père, et qui s'inscrit dans la grande tradition des ouvrages d'éducation sentimentale et affective. -2- Le temps qui reste, publié en 1971. Ce livre de mémoires raconte, entre autres choses, l'aventure de la création du Nouvel Observateur. Il avait connu un énorme succès et imposé Jean Daniel au tout premier rang des mémorialistes de l'époque. -3- La Blessure, publié en 1992 . Ce livre tourne principalement autour de l'épisode dit « de Bizerte » où Jean Daniel avait reçu une rafale de mitraillette (tirée par des soldats français). Cloué sur son lit d'hôpital, il assista aux négociations Mendès-Bourguiba sur la future indépendance de la Tunisie. Dans l'oeuvre de Jean Daniel, c'est un peu l'équivalent de son Adieu aux armes. -4- Avec le temps et Soleil d'hiver, ces deux livres publiés en 1998 et en 2000 rassemblent des « carnets » de l'auteur. C'est une sorte de journal politique, culturel, idéologique et intime. On y croise tout ce que ce demi siècle a compté d'acteurs majeurs, de grands témoins, d'intellectuels éminents.",9782246598091,,http://books.google.com/books/content?id=v8O5qYrir1wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2002-05-23,Gallimard,"Sand, George--[biographie]",Oeuvres autobiographiques /,Oeuvres autobiographiques,1675
"Spiegelman, Art",https://books.google.com/books/about/Maus.html?hl=&id=nNqfPgAACAAJ,,3763237259,,,de,1991,Flammarion,[Bandes dessinées],Maus : un survivant raconte /,Maus,1694
"Spiegelman, Art",https://books.google.com/books/about/Maus.html?hl=&id=nNqfPgAACAAJ,,3763237259,,,de,1991,Flammarion,Bandes dessinées,Maus : un survivant raconte /,Maus,1695
"Kelsen, Hans, 1881-1973",https://books.google.com/books/about/Th%C3%A9orie_pure_du_droit.html?hl=&id=FuaLAAAACAAJ,"La Théorie pure du droit est le livre le plus important du plus important des juristes de ce siècle. Hans Kelsen y fait l'exposé systématique des thèses d'un mouvement, qui représente, à côté du réalisme, l'une des deux branches du juspositivisme moderne, un mouvement que l'on appelle souvent en France "" normativisme "", mais que lui-même préférait désigner justement comme "" Théorie pure du droit "". Il contient deux séries de développements. D'abord une épistémologie de la science du droit, qui doit, contrairement à la vision traditionnelle, être construite selon un modèle dérivé de celui des sciences empiriques, c'est-à-dire avant tout être pure. La pureté signifie ici le double refus des jugements de valeur dont est imprégnée la doctrine juridique traditionnelle, et du syncrétisme méthodologique. Ensuite, une description générale de la structure du système juridique pour tout droit positif et même pour tout droit possible. Les thèses qui y sont exposées portent sur toutes les grandes questions de la science du droit, qu'aucun juriste ne peut traiter sans commencer par examiner ce qu'en dit la "" Théorie pure "". Cette deuxième édition, admirablement traduite par l'un de ses plus proches disciples, Charles Eisenmann, marque aussi une étape dans la pensée de Hans Kelsen. Elle a été publiée en 1960 et diffère profondément de la première, parue en 1934. Entre les deux la pensée de Kelsen, chassé de Vienne, puis d'Allemagne et réfugié aux Etats-Unis depuis le début de la Seconde Guerre mondiale avait évolué, en partie sous l'influence du mouvement réaliste. On y trouve sur plusieurs questions, comme l'ontologie des normes, le rôle de la logique dans le droit, l'interprétation ou la hiérarchie de l'ordre juridique, des thèses nouvelles, qui non seulement éclairent l'évolution de la théorie du droit, mais constituent aussi des instruments indispensables pour comprendre les transformations du droit contemporain.",2275017763,,,fr,1999,P Attinger; La Baconnière,philosophie du droit--[manuel],Théorie pure du droit : introduction à la science du droit /,Théorie pure du droit,1718
"Cognasso, Francesco",https://books.google.com/books/about/Amedeo_VIII.html?hl=&id=45pUAAAAYAAJ,,,,http://books.google.com/books/content?id=45pUAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,it,1930,GB Paravia,Amédée--(duc de Savoie ;--8),"Amedeo VIII, 1383-1451 /","Amedeo VIII, 1383-1451",1789
Bernardino Corio,https://play.google.com/store/books/details?id=BpZpAAAAcAAJ,,,,http://books.google.com/books/content?id=BpZpAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,it,1856,Fondazione Treccani Degli Alfieri per la storia di Milano,Milan (Italie)--2e millénaire av. J.-C. / 1915,Storia di Milano /,Storia di Milano,1791
"Wickersheimer, Ernest",https://books.google.com/books/about/Dictionnaire_biographique_des_m%C3%A9decins.html?hl=&id=inlmGzmRmycC,,2600033831,,http://books.google.com/books/content?id=inlmGzmRmycC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1979,Droz,médecin--France--Moyen-Âge--[dictionnaire],Dictionnaire biographique des médecins en France au Moyen-Age /,Dictionnaire biographique des médecins en France au Moyen-Age,1792
"Elias, Norbert",https://play.google.com/store/books/details?id=0BVMBgAAQBAJ,"Bienvenue dans la collection Les Fiches de lecture d’Universalis Le destin de La Société de cour est le reflet des difficultés dont a souffert Norbert Elias (1897-1990), sociologue allemand d’origine juive, face à l’avènement du nazisme. Une fiche de lecture spécialement conçue pour le numérique, pour tout savoir sur La Société de cour de Norbert Elias Chaque fiche de lecture présente une œuvre clé de la littérature ou de la pensée. Cette présentation est couplée avec un article de synthèse sur l’auteur de l’œuvre. A propos de l’Encyclopaedia Universalis : Reconnue mondialement pour la qualité et la fiabilité incomparable de ses publications, Encyclopaedia Universalis met la connaissance à la portée de tous. Écrite par plus de 7 400 auteurs spécialistes et riche de près de 30 000 médias (vidéos, photos, cartes, dessins...), l’Encyclopaedia Universalis est la plus fiable collection de référence disponible en français. Elle aborde tous les domaines du savoir.",9782341000413,,http://books.google.com/books/content?id=0BVMBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2015-11-10,Calmann-Lévy,cour (monarchie)--société (milieu humain)--France--17e s. / 18e s.; aristocratie--comportement social--France--17e s. / 18e s.,La société de cour /,La société de cour,1793
Mario Chiaudano,https://books.google.com/books/about/La_finanza_sabauda_nel_sec_XIII.html?hl=&id=7PshRFKHIycC,,,,http://books.google.com/books/content?id=7PshRFKHIycC&printsec=frontcover&img=1&zoom=1&source=gbs_api,la,1937,M Gabetta-Voghera,Finance,La finanza sabauda nel sec. XIII /,La finanza sabauda nel sec. XIII,1795
"Picoult, Jodi, 1966-",https://play.google.com/store/books/details?id=wt9ZEAAAQBAJ,"*THE NEW YORK TIMES and SUNDAY TIMES BESTSELLER* 'Heart-pounding and heartbreaking' WASHINGTON POST Olivia fled her abusive marriage to return to her hometown and take over the family beekeeping business when her son Asher was six. Now, impossibly, her baby is six feet tall and in his last year of high school, a kind, good-looking, popular ice hockey star with a tiny sprite of a new girlfriend. Lily also knows what it feels like to start over - when she and her mother relocated to New Hampshire it was all about a fresh start. She and Asher couldn't help falling for each other, and Lily feels happy for the first time. But can she trust him completely? Then Olivia gets a phone call - Lily is dead, and Asher is arrested on a charge of murder. As the case against him unfolds, she realises he has hidden more than he's shared with her. And Olivia knows firsthand that the secrets we keep reflect the past we want to leave behind - and that we rarely know the people we love well as we think we do. 'Emotional and enlightening' WOMAN & HOME 'The twist halfway through is a jaw-to-the-floor moment' GOOD HOUSEKEEPING 'A perfect choice for your book clubs' PRIMA",9781399708371,,http://books.google.com/books/content?id=wt9ZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,2022-10-04,Hodder & Stoughton,Fiction,Mad honey /,Mad honey,1830
"Williams, Pip",https://play.google.com/store/books/details?id=572TEAAAQBAJ,"As World War One brings women unexpected new freedoms, bookbinder Peggy has the chance at a new future. 'Vivid and moving ... I absolutely loved it!' Ruth Hogan, author of The Keeper of Lost Things 'Charming, original and beautifully researched' Rachel Hore, author of A Beautiful Spy 'When the men leave for the Western Front, Peggy and her friends must shoulder the burden at home. As she moves between her narrowboat full of memories and the demands of the bookbindery where she works, Peggy’s dreams of escaping for a new life feel ever more remote. But the war brings people together in unexpected ways. New friends and lovers offer new opportunities but also present difficult choices – and Peggy must write her own story. 'A fresh, exciting new voice in historical fiction' Paula McLain, author of The Paris Wife 'A compelling homage to the transformational power of books' Daisy Wood, author of The Forgotten Bookshop in Paris Dictionary of Lost Words, Reese Witherspoon Book Club Pick, May 2022",9781529907674,,http://books.google.com/books/content?id=572TEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,2023-07-06,Chatto & Windus,"Great Britain; World War--(1914-1918); 1914-1918; Fiction; World War, 1914-1918--Great Britain--Fiction.; Twins--Fiction.; Bookbinding--Fiction.; World War, 1914-1918--Refugees--Belgium--Fiction.; Australian fiction.; Oxford (England)--History--20th century--Fiction.",The bookbinder of Jericho /,The bookbinder of Jericho,1834
"Paul Logoz, Yves Sandoz",https://books.google.com/books/about/Commentaire_du_Code_p%C3%A9nal_suisse_1_Part.html?hl=&id=ebf_EAAAQBAJ,"Cet ouvrage est une réédition numérique d’un livre paru au XXe siècle, désormais indisponible dans son format d’origine.",9791036919473,,http://books.google.com/books/content?id=ebf_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1976-01-01T00:00:00+01:00,Diffusion OFCL; Chancellerie fédérale,Strafrecht; Strafgesetzbuch; Schweiz; Textreproduktion,Code pénal suisse : [du 21 décembre 1937 (état le 1er juillet 2020)] /,Code pénal suisse,1858
,https://books.google.com/books/about/Code_civil_suisse_et_code_des_obligation.html?hl=&id=QlqfzQEACAAJ,,3719043002,,,fr,2020,Diffusion OFCL; Chancellerie fédérale,Obligationenrecht; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion,Code des obligations : [du 30 mars 1911 (état le 1er janvier 2021)] /,Code des obligations,1859
Suisse,https://books.google.com/books/about/Code_civil_suisse_CC.html?hl=&id=2hYbBQAAQBAJ,Code civil suisse du 10 décembre 1907; Etat le 15.11.2011 Suisse.,9785392065264,,http://books.google.com/books/content?id=2hYbBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2014-10-28,Diffusion OFCL; Chancellerie fédérale,Zivilrecht; Zivilgesetzbuch; Schweiz; Textreproduktion,Code civil suisse : [du 10 décembre 1907 (état le 1er janvier 2021)] /,Code civil suisse,1860
Erica Deuber-Pauli,https://books.google.com/books/about/Le_portail_peint_de_la_Cath%C3%A9drale_de_La.html?hl=&id=RdJBtAEACAAJ,,,,,fr,,Archives de la Ville de Lausanne,"Polychromie--portail sud--Notre-Dame--Lausanne (Suisse, VD); portail sud--sculpture polychrome suisse--Notre-Dame--Lausanne (Suisse, VD)--gothique (époque)",Le portail peint de la cathédrale de Lausanne : chef-d'oeuvre de la sculpture gothique /,Le portail peint de la cathédrale de Lausanne,1897
Lausanne,https://play.google.com/store/books/details?id=vGpHAAAAYAAJ,Nombreuses illustrations.,,,http://books.google.com/books/content?id=vGpHAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1906,Libr Rouge,"Lausanne (Suisse, VD)--6e s. / 19e s.",Lausanne à travers les âges /,Lausanne à travers les âges,1898
"Rebeaud, Laurent",https://books.google.com/books/about/La_Suisse_verte.html?hl=&id=Z8ez79uUSFUC,"Analyse: Voir notamment le chapitre 3: ""Neuchâtel, 1972 : la première ébauche.""",2825130214,,http://books.google.com/books/content?id=Z8ez79uUSFUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1987,Impr des remparts; L'Age d'Homme,Les Verts (Suisse)--1983 / 1987; mouvement écologiste--Suisse--1971 / 1987,La Suisse verte : les premières années du parti écologiste suisse /,La Suisse verte,1932
,https://books.google.com/books/about/Lutry_arts_et_monuments_du_XIe_au_d%C3%A9but.html?hl=&id=4A6_swEACAAJ,,,,,fr,1990,Swissprinters; Commune de Lutry,"monument historique--Lutry (Suisse, VD); urbanisme--Lutry (Suisse, VD)--11e s. / 20e s. (début); Lutry (Suisse, VD)","Lutry, arts et monuments : du XIe au début du XXe siècle /","Lutry, arts et monuments",1942
"Berclaz, Kérim",https://books.google.com/books/about/L_Histoire_et_la_vie_d_une_cath%C3%A9drale.html?hl=&id=SdLPAAAACAAJ,,2701305381,,,fr,1983,éditeur non identifié,"Vie religieuse et monastique--Lausanne (Suisse, VD)--Histoire; Cathédrales--Conditions sociales--Histoire--Lausanne (Suisse, VD); Paroisse de Notre-Dame (Lausanne)--Histoire; Thèses et écrits académiques","La vie d'une cathédrale : organisation spatiale, sociale et religieuse autour de Notre-Dame de Lausanne (XIIIe-XVIe siècles) /",La vie d'une cathédrale,1945
"Ray, Jean, romancier",https://books.google.com/books/about/Harry_Dickson.html?hl=&id=6hi20AEACAAJ,,8892976656,,http://books.google.com/books/content?id=6hi20AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,it,2024,Oswald,Comics & Graphic Novels,Harry Dickson /,Harry Dickson,2047
Martine Auvergne,https://books.google.com/books/about/Des_albums_pour_dire_%C3%A9crire_lire_moyen.html?hl=&id=ckGGAQAACAAJ,,2885002654,,,fr,2011,Conférence intercantonale de l'instruction publique de la Suisse romande et du Tessin,école enfantine--lecture - apprentissage (psychologie); communication orale--école enfantine; activités didactiques--écoute--français (langue),"Des albums pour dire, écrire, lire : Activités didactiques","Des albums pour dire, écrire, lire",2087
Percy Ernst Schramm,https://books.google.com/books/about/Kriegstagebuch_des_Oberkommandos_der_Weh.html?hl=&id=xHj4zQEACAAJ,,3763750940,,,en,,Bernard und Graefe Verlag für Wehrwesen,guerre mondiale 2--[document],Kriegstagebuch des Oberkommandos der Wehrmacht : (Wehrmachtführungsstab) : 1940-1945 /,Kriegstagebuch des Oberkommandos der Wehrmacht,2385
"Eichholtz, Dietrich",https://play.google.com/store/books/details?id=cnQbDgAAQBAJ,"Keine ausführliche Beschreibung für ""Geschichte der deutschen Kriegswirtschaft 1939-1945"" verfügbar.",9783110968262,,http://books.google.com/books/content?id=cnQbDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2015-07-24,Akademie-Verlag,History,Geschichte der deutschen Kriegswirtschaft : 1939-1945 /,Geschichte der deutschen Kriegswirtschaft,2386
"Ackermann, Werner",https://books.google.com/books/about/D%C3%A9crire_un_imp%C3%A9ratif.html?hl=&id=58VfPgAACAAJ,,,,,fr,1985,Ecole des hautes études en sciences sociales,,"Décrire un impératif ? : description, explication, interprétation en sciences sociales /",Décrire un impératif ?,2401
"Felix, Jean-Pierre",https://books.google.com/books/about/M%C3%A9langes_d_organologie.html?hl=&id=BJ03AQAAIAAJ,,,,http://books.google.com/books/content?id=BJ03AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1979,J-P Felix,orgue--Belgique--16e s. / 20e s.; facture instrumentale--orgue--Belgique--16e s. / 20e s.,Mélanges d'organologie /,Mélanges d'organologie,2406
